method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records,source_summary
vmascal_vmas-navigation_random_p0.00003,4,6.6385,11.5703,4.761681818181818,4.9318,6.6385,6.6385,1864.0,1.7732718677419375,0.055320000000001264,91418.0,0.0009513261093036145,49.04399141630901,1381.2,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_random_p0.00003,5,7.3705,11.7685,4.5982318181818185,4.398,7.3705,7.3705,1865.0,1.7682404806451608,0.05526000000000126,90105.0,0.0009481182201850728,48.31367292225201,1376.8,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_random_p0.00003,6,7.6079,11.7758,5.219468181818182,4.1679,7.6079,7.6079,1889.0,1.746097979032252,0.05592000000000131,91299.0,0.0009243504388736114,48.33192165166755,1393.4,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_random_p0.00003,7,7.5759,11.8113,5.079804545454546,4.235399999999999,7.5759,7.5759,1863.0,1.737899453225811,0.05526000000000126,90639.0,0.0009328499480546489,48.65217391304348,1383.0,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_random_p0.00003,8,7.7344,11.8587,5.263159090909091,4.124300000000001,7.7344,7.7344,1865.0,1.7422340032258072,0.05541000000000127,90461.0,0.0009341737282712103,48.50455764075067,1385.4,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_uniform_p0.00003,4,7.0164,11.6766,4.801504545454546,4.660200000000001,7.0164,7.0164,1864.0,2.0126670000000577,0.0006000000000000001,91302.0,0.001079756974248958,48.98175965665236,1389.2,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_uniform_p0.00003,5,6.3912,11.6624,4.381827272727272,5.271199999999999,6.3912,6.3912,1889.0,2.029791000000049,0.00108,91567.0,0.0010745320275278186,48.47379565907888,1412.6,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_uniform_p0.00003,6,7.4318,11.9895,5.149081818181817,4.5577,7.4318,7.4318,1891.0,2.0008320000000532,0.0007799999999999999,90778.0,0.001058081438392413,48.005288207297724,1394.4,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_uniform_p0.00003,7,7.3233,12.2281,5.097504545454546,4.9048,7.3233,7.3233,1857.0,2.0088150000000597,0.0006000000000000001,91008.0,0.0010817528271405813,49.00807754442649,1380.8,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_uniform_p0.00003,8,8.1518,11.9481,5.493354545454545,3.7963000000000005,8.1518,8.1518,1871.0,2.003287500000056,0.0008099999999999998,90611.0,0.0010707041688936697,48.42918225547835,1382.2,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
