method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_semantic_shuffled_budget_matched_0.0003_late045,6,0.1257,0.1705,0.10090526315789475,0.044800000000000006,0.1257,0.1257,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_semantic_shuffled_budget_matched_0.0003_late045,7,0.0721,0.1138,0.062455263157894715,0.0417,0.0721,0.0721,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_semantic_shuffled_budget_matched_0.0003_late045,8,0.0875,0.1131,0.07517105263157893,0.02560000000000001,0.0875,0.098,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,1,0.1163,0.1492,0.09371052631578945,0.0329,0.1163,0.1163,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,2,0.1046,0.1356,0.09707894736842107,0.031,0.1046,0.107,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,3,0.1341,0.1603,0.11155526315789477,0.0262,0.1341,0.1343,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,4,0.1252,0.1739,0.10003684210526315,0.04869999999999999,0.1252,0.1252,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,5,0.0923,0.1191,0.06600526315789473,0.026800000000000004,0.0923,0.0923,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,6,0.0954,0.1588,0.08927894736842107,0.0634,0.0954,0.0954,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,7,0.1044,0.1419,0.08552368421052631,0.03749999999999999,0.1044,0.1044,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,8,0.1275,0.1884,0.11303157894736843,0.06090000000000001,0.1275,0.1275,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,1,0.2033,0.3153,0.16676842105263145,0.11200000000000002,0.2033,0.2033,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,2,0.4145,0.7509,0.30046578947368424,0.33640000000000003,0.4145,0.4145,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,3,0.3043,0.7041,0.22977894736842105,0.39979999999999993,0.3043,0.3043,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,4,0.2941,0.4907,0.21913157894736845,0.19660000000000005,0.2941,0.2941,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,5,0.33,0.5784,0.22168157894736842,0.2484,0.33,0.33,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,6,0.2692,0.3452,0.19007631578947368,0.07600000000000001,0.2692,0.2692,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,7,0.3954,0.7244,0.28417631578947367,0.32900000000000007,0.3954,0.3954,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,8,0.2225,0.3469,0.19799210526315789,0.12439999999999998,0.2225,0.2225,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_baseline,1,0.2638,0.4453,0.19140263157894732,0.1815,0.2638,0.2638,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_baseline,2,0.3859,0.5829,0.2814842105263158,0.19699999999999995,0.3859,0.3859,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_baseline,3,0.1703,0.189,0.12869999999999998,0.018699999999999994,0.1703,0.1703,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_baseline,4,0.1845,0.3117,0.1642842105263158,0.12719999999999998,0.1845,0.1845,
