method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_baseline,1,0.518,0.518,0.23065789473684212,0.0,0.518,0.518,0.0,0.0,0.0,0.0,0.0,0.0,
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_baseline,2,0.3175,0.4096,0.19957105263157898,0.09210000000000002,0.3175,0.3175,0.0,0.0,0.0,0.0,0.0,0.0,
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_dg_pbs_l002,1,0.5397,0.669,0.2693026315789474,0.12930000000000008,0.5397,0.5397,11020.0,0.0,0.0,511209.0,0.0,46.38920145190563,3000.0
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_dg_pbs_l002,2,0.3009,0.4631,0.1771552631578948,0.1622,0.3009,0.3009,10210.0,0.0,0.0,510296.0,0.0,49.98001958863859,3000.0
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,1,0.5867,0.5973,0.3161342105263158,0.010600000000000054,0.5867,0.5867,10750.0,0.0,0.0,510885.0,0.0,47.52418604651163,2923.2
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,2,0.3798,0.4713,0.20102894736842106,0.09149999999999997,0.3798,0.3798,10300.0,0.0,0.0,510359.0,0.0,49.549417475728156,3000.0
