best_reference_arm,category,chosen_arm,context,domain,effect_vs_gated,effect_vs_noalign,effect_vs_safe,experiment,gated,gated_interaction,gated_interaction_normalized,noalign,normalized_effect_vs_noalign,online_gain_vs_reference_noalign,online_regret_to_better_reference_arm,online_total_team_mean_payoff,payoff_prompt,reference_selection_regret,regret_to_better_fixed_arm,route_match,route_original,route_swapped,safe_interaction,safe_interaction_normalized,seed,selection_correct,temporal_replay_drift_gated,temporal_replay_drift_noalign
,coord_or_boundary,,p3_m01,,-0.3200000000000003,-0.7366666666666668,-0.3633333333333333,p0,2.066666666666667,,,2.4833333333333334,-0.2104761904761905,,,,1.7466666666666666,,0.7366666666666668,,,,,,102,,-0.18999999999999995,-0.10999999999999988
,coord_or_boundary,,p3_m01,,-0.1266666666666667,-0.5300000000000009,-0.5066666666666662,p0,2.0966666666666667,,,2.500000000000001,-0.1514285714285717,,,,1.97,,0.5300000000000009,,,,,,103,,0.08000000000000007,-0.18000000000000016
,coord_or_boundary,,p3_m01,,0.09999999999999964,-0.5466666666666671,-0.23666666666666702,p0,1.89,,,2.5366666666666666,-0.1561904761904763,,,,1.9899999999999995,,0.5466666666666671,,,,,,104,,-0.5633333333333332,-0.293333333333333
,coord_or_boundary,,p3_m01,,-0.153333333333334,-0.39333333333333376,-0.2466666666666668,p0,2.1000000000000005,,,2.3400000000000003,-0.1123809523809525,,,,1.9466666666666665,,0.39333333333333376,,,,,,105,,0.11000000000000054,-0.10666666666666647
,coord_or_boundary,,p3_m01,,-0.26000000000000023,-0.25,-0.4200000000000004,p0,2.15,,,2.1399999999999997,-0.07142857142857142,,,,1.8899999999999997,,0.26000000000000023,,,,,,106,,0.07333333333333325,-0.2500000000000009
,coord_or_boundary,,p3_m01,,0.04333333333333256,-0.34333333333333393,-0.3400000000000001,p0,1.8300000000000003,,,2.216666666666667,-0.09809523809523826,,,,1.8733333333333329,,0.34333333333333393,,,,,,107,,-0.30000000000000004,-0.21666666666666634
,coord_or_boundary,,p3_m01,,-0.17000000000000015,-0.6066666666666662,-0.3766666666666667,p0,2.066666666666667,,,2.503333333333333,-0.1733333333333332,,,,1.8966666666666667,,0.6066666666666662,,,,,,108,,0.43000000000000016,0.0
,coord_or_boundary,,p3_m01,,-0.32333333333333303,-0.3966666666666667,-0.39333333333333287,p0,2.32,,,2.3933333333333335,-0.11333333333333336,,,,1.9966666666666668,,0.3966666666666667,,,,,,109,,0.07666666666666666,-0.21666666666666723
,coord_or_boundary,,p3_m01,,-0.23666666666666658,-0.24666666666666637,-0.19333333333333313,p0,2.0633333333333335,,,2.0733333333333333,-0.07047619047619039,,,,1.8266666666666669,,0.24666666666666637,,,,,,110,,0.1933333333333338,-0.3333333333333335
,coord_or_boundary,,p3_m01,,-0.32000000000000095,-0.17333333333333312,-0.2699999999999998,p0,2.2466666666666675,,,2.0999999999999996,-0.04952380952380946,,,,1.9266666666666665,,0.32000000000000095,,,,,,111,,0.020000000000000906,-0.09666666666666712
,coord_or_boundary,,p3_m02,,0.28,0.023333333333333428,0.06999999999999984,p0,1.6099999999999999,,,1.8666666666666665,0.006666666666666694,,,,1.89,,-0.023333333333333428,,,,,,102,,0.07000000000000006,0.0
,coord_or_boundary,,p3_m02,,0.303333333333333,0.11666666666666625,0.4199999999999997,p0,1.7033333333333334,,,1.8900000000000001,0.033333333333333215,,,,2.0066666666666664,,-0.11666666666666625,,,,,,103,,0.14000000000000012,0.07000000000000006
,coord_or_boundary,,p3_m02,,0.3266666666666669,0.046666666666666634,0.42000000000000015,p0,1.5866666666666667,,,1.866666666666667,0.013333333333333324,,,,1.9133333333333336,,-0.046666666666666634,,,,,,104,,0.02333333333333365,-0.023333333333332984
,coord_or_boundary,,p3_m02,,0.3733333333333335,0.04666666666666708,0.06999999999999984,p0,1.5866666666666667,,,1.913333333333333,0.01333333333333345,,,,1.9600000000000002,,-0.04666666666666708,,,,,,105,,-0.04666666666666708,0.023333333333333428
