method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
v2_lbforaging_Foraging-10x10-3p-3f-v3_baseline,3,0.4429,0.5643,0.22558157894736844,0.12140000000000001,0.4429,0.4429,0.0,0.0,0.0,0.0,0.0,0.0,
v2_lbforaging_Foraging-10x10-3p-3f-v3_baseline,4,0.2158,0.2404,0.1334578947368421,0.02460000000000001,0.2158,0.2158,0.0,0.0,0.0,0.0,0.0,0.0,
v2_lbforaging_Foraging-10x10-3p-3f-v3_dg_pbs_v2,3,0.1616,0.2233,0.1559789473684211,0.061700000000000005,0.1616,0.1817,10130.0,0.0,0.0,510158.0,0.0,50.361105626850936,3000.0
v2_lbforaging_Foraging-10x10-3p-3f-v3_dg_pbs_v2,4,0.2274,0.2869,0.17885263157894743,0.0595,0.2274,0.2402,10190.0,0.0,0.0,510534.0,0.0,50.10147203140334,3000.0
v2_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,3,0.42,0.6199,0.22022368421052635,0.19990000000000002,0.42,0.42,10880.0,0.0,0.0,511017.0,0.0,46.96847426470588,3000.0
v2_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,4,0.5575,0.61,0.24383421052631576,0.05249999999999999,0.5575,0.5575,10720.0,0.0,0.0,510978.0,0.0,47.66585820895522,2996.6
v2_lbforaging_Foraging-10x10-3p-3f-v3_fme_l01,3,0.3297,0.482,0.16078947368421054,0.1523,0.3297,0.3297,4716.0,0.0,0.0,240449.0,0.0,50.98579304495335,3000.0
v2_lbforaging_Foraging-10x10-3p-3f-v3_fme_l01,4,0.3307,0.3307,0.1851026315789474,0.0,0.3307,0.3307,4164.0,0.0,0.0,212364.0,0.0,51.0,3000.0
