method,seed,last_train_return,best_train_return,last_test_return,best_test_return,last_llm_fd_records
baseline,1,0.0688,0.2181,0.0688,0.0688,
baseline,2,0.0063,0.0385,0.0063,0.0063,
baseline,3,0.1375,0.4903,0.1375,0.1375,
fd,1,0.0688,0.2181,0.0688,0.0688,1000.0
fd,2,0.0063,0.0385,0.0063,0.0063,1000.0
fd,3,0.1375,0.4903,0.1375,0.1375,1000.0
fd_shaping,1,0.0938,0.2662,0.0938,0.0938,1000.0
fd_shaping,2,0.0188,0.0718,0.0188,0.0188,1000.0
fd_shaping,3,0.1000,0.4659,0.1000,0.1000,1000.0
