method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
v2_lbforaging_Foraging-10x10-3p-3f-v3_baseline,1,0.518,0.518,0.23065789473684212,0.0,0.518,0.518,0.0,0.0,0.0,0.0,0.0,0.0,
v2_lbforaging_Foraging-10x10-3p-3f-v3_baseline,2,0.3175,0.4096,0.19957105263157898,0.09210000000000002,0.3175,0.3175,0.0,0.0,0.0,0.0,0.0,0.0,
v2_lbforaging_Foraging-10x10-3p-3f-v3_dg_pbs_v2,1,0.2785,0.2785,0.15272368421052634,0.0,0.2785,0.2785,10090.0,0.0,0.0,510165.0,0.0,50.56144697720515,3000.0
v2_lbforaging_Foraging-10x10-3p-3f-v3_dg_pbs_v2,2,0.5725,0.6821,0.22116052631578947,0.10960000000000003,0.5725,0.5725,11020.0,0.0,0.0,511391.0,0.0,46.405716878402906,3000.0
v2_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,1,0.5867,0.5973,0.3161342105263158,0.010600000000000054,0.5867,0.5867,10750.0,0.0,0.0,510885.0,0.0,47.52418604651163,2923.2
v2_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,2,0.3798,0.4713,0.20102894736842106,0.09149999999999997,0.3798,0.3798,10300.0,0.0,0.0,510359.0,0.0,49.549417475728156,3000.0
v2_lbforaging_Foraging-10x10-3p-3f-v3_fme_l01,1,0.2742,0.2742,0.17555263157894735,0.0,0.2742,0.2742,4140.0,0.0,0.0,211140.0,0.0,51.0,3000.0
v2_lbforaging_Foraging-10x10-3p-3f-v3_fme_l01,2,0.3819,0.4848,0.21321315789473685,0.10289999999999999,0.3819,0.3819,4032.0,0.0,0.0,205632.0,0.0,51.0,3000.0
