method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,2,0.0578,0.092,0.06915,0.0342,0.0578,0.0578,1020.0,0.0,0.0,51974.6667,0.0,50.9578,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,8,0.2406,0.2611,0.19265526315789472,0.02049999999999999,0.2406,0.2406,10210.0,0.0,0.0,510651.0,0.0,50.01478942213516,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_weights_l005,6,0.231,0.4356,0.16587631578947368,0.20459999999999998,0.231,0.231,10470.0,0.0,0.0,510750.0,0.0,48.78223495702006,
