method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,1,0.0632,0.1351,0.08491666666666668,0.07189999999999999,0.0632,0.0827,20.0,0.13896817258064517,0.004049999999999999,1020.0,0.006948408629032258,51.0,12.3333
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,1,0.0715,0.1351,0.0863,0.0636,0.0715,0.0827,20.0,0.13708800000000002,0.0,1020.0,0.006854400000000001,51.0,12.3333
seedext10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late045,9,0.0668,0.0708,0.06168333333333333,0.0040000000000000036,0.0668,0.0668,19.0,0.14921941935483873,0.0,969.0,0.00785365365025467,51.0,12.3333
seedext10_lbforaging_Foraging-10x10-3p-3f-v3_baseline,9,0.0651,0.0708,0.05811666666666667,0.005699999999999997,0.0651,0.0651,0.0,0.0,0.0,0.0,0.0,0.0,
sensitivity10ext_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0002_late045,5,0.0893,0.1052,0.0861,0.015899999999999997,0.0893,0.0893,16.0,0.09326090322580641,0.0,816.0,0.0058288064516129005,51.0,11.6667
