method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_baseline,3,0.4429,0.5643,0.22558157894736844,0.12140000000000001,0.4429,0.4429,0.0,0.0,0.0,0.0,0.0,0.0,
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_baseline,4,0.2158,0.2404,0.1334578947368421,0.02460000000000001,0.2158,0.2158,0.0,0.0,0.0,0.0,0.0,0.0,
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_dg_pbs_l002,3,0.3614,0.6041,0.2063578947368421,0.24269999999999997,0.3614,0.3614,10910.0,0.0,0.0,510942.0,0.0,46.83244729605866,3000.0
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_dg_pbs_l002,4,0.2502,0.2812,0.17797894736842104,0.031000000000000028,0.2502,0.2805,10200.0,0.0,0.0,510353.0,0.0,50.03460784313725,3000.0
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,3,0.42,0.6199,0.22022368421052635,0.19990000000000002,0.42,0.42,10880.0,0.0,0.0,511017.0,0.0,46.96847426470588,3000.0
dgpbs_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,4,0.5575,0.61,0.24383421052631576,0.05249999999999999,0.5575,0.5575,10720.0,0.0,0.0,510978.0,0.0,47.66585820895522,2996.6
